sample_index,cdl,landsat,openstreetmap_raster,sentinel1,sentinel2_l2a,srtm,worldcereal,worldcover,wri_canopy_height_map
0,0,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1
2,0,1,1,1,1,1,1,1,1
3,0,1,1,1,1,1,1,1,1
4,0,1,1,1,1,1,1,1,0
5,0,1,1,1,1,1,1,1,0
6,0,1,1,1,1,1,1,1,0
7,0,1,1,1,1,1,1,1,0
8,0,1,0,1,1,1,1,1,1
9,0,1,0,1,1,1,1,1,1
10,0,1,0,1,1,1,1,1,1
11,0,1,0,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1
16,0,1,1,1,1,1,1,1,0
17,0,1,1,1,1,1,1,1,0
18,0,1,1,1,1,1,1,1,0
19,0,1,1,1,1,1,1,1,0
20,0,1,1,1,1,1,1,1,1
21,0,1,1,1,1,1,1,1,1
22,0,1,1,1,1,1,1,1,1
23,0,1,1,1,1,1,1,1,1
24,0,1,1,1,1,1,1,1,0
25,0,1,1,1,1,1,1,1,0
26,0,1,1,1,1,1,1,1,0
27,0,1,1,1,1,1,1,1,0
28,1,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1,1
30,1,1,1,1,1,1,1,1,1
31,1,1,1,1,1,1,1,1,1
32,1,1,1,1,1,1,1,1,0
33,1,1,1,1,1,1,1,1,0
34,1,1,1,1,1,1,1,1,0
35,1,1,1,1,1,1,1,1,0
36,0,1,1,1,1,1,1,1,1
37,0,1,1,1,1,1,1,1,1
38,0,1,1,1,1,1,1,1,1
39,0,1,1,1,1,1,1,1,1
40,0,1,1,1,1,1,1,1,0
41,0,1,1,1,1,1,1,1,0
42,0,1,1,1,1,1,1,1,0
43,0,1,1,1,1,1,1,1,0
44,0,1,1,1,1,1,1,1,1
45,0,1,1,1,1,1,1,1,1
46,0,1,1,1,1,1,1,1,1
47,0,1,1,1,1,1,1,1,1
48,0,1,1,1,1,1,1,1,1
49,0,1,1,1,1,1,1,1,1
50,0,1,1,1,1,1,1,1,1
51,0,1,1,1,1,1,1,1,1
52,0,1,1,1,1,1,1,1,0
53,0,1,1,1,1,1,1,1,0
54,0,1,1,1,1,1,1,1,0
55,0,1,1,1,1,1,1,1,0
56,0,1,1,1,1,1,1,1,1
57,0,1,1,1,1,1,1,1,1
58,0,1,1,1,1,1,1,1,1
59,0,1,1,1,1,1,1,1,1
60,1,1,1,1,1,1,1,1,0
61,1,1,1,1,1,1,1,1,0
62,1,1,1,1,1,1,1,1,0
63,1,1,1,1,1,1,1,1,0
64,0,1,1,1,1,1,1,1,0
65,0,1,1,1,1,1,1,1,0
66,0,1,1,1,1,1,1,1,0
67,0,1,1,1,1,1,1,1,0
68,0,1,1,1,1,1,1,1,1
69,0,1,1,1,1,1,1,1,1
70,0,1,1,1,1,1,1,1,1
71,0,1,1,1,1,1,1,1,1
72,0,1,1,1,1,1,1,1,0
73,0,1,1,1,1,1,1,1,0
74,0,1,1,1,1,1,1,1,0
75,0,1,1,1,1,1,1,1,0
76,0,1,1,1,1,1,1,1,1
77,0,1,1,1,1,1,1,1,1
78,0,1,1,1,1,1,1,1,1
79,0,1,1,1,1,1,1,1,1
80,0,1,1,1,1,1,1,1,1
